マス目,イベント,移動できるマス
1,バトル,0
2,バトル,0
3,バトル,0
4,バトル,"5,19"
5,バトル,"4,6"
6,バトル,"5,7,21"
7,バトル,"6,8"
8,バトル,"7,9"
9,バトル,"8,10"
10,バトル,"9,11"
11,バトル,"10,12"
12,バトル,"11,27"
13,バトル,0
14,バトル,0
15,バトル,0
16,バトル,31
17,バトル,0
18,バトル,0
19,バトル,"4,34"
20,バトル,0
21,バトル,"6,36"
22,バトル,0
23,バトル,0
24,バトル,0
25,バトル,0
26,バトル,0
27,バトル,"12,28,42"
28,バトル,"27,29"
29,バトル,"28,30"
30,バトル,"29,45"
31,バトル,"16,46"
32,バトル,0
33,バトル,"34,48"
34,バトル,"19,33"
35,バトル,0
36,バトル,"21,51"
37,バトル,0
38,バトル,0
39,バトル,0
40,バトル,0
41,バトル,0
42,バトル,"27,57"
43,バトル,0
44,バトル,0
45,バトル,"30,60"
46,バトル,"31,61"
47,バトル,"46,48"
48,バトル,"33,47,63"
49,バトル,0
50,バトル,0
51,バトル,"36,66"
52,バトル,0
53,バトル,0
54,スタート,69
55,バトル,0
56,バトル,0
57,バトル,"42,72"
58,バトル,0
59,バトル,0
60,バトル,"45,75"
61,バトル,"46,76"
62,バトル,0
63,バトル,"48,64"
64,バトル,"63,65,79"
65,バトル,"64,66"
66,バトル,"51,65,67,81"
67,バトル,"66,68"
68,バトル,"67,69"
69,バトル,"54,68,70,84"
70,バトル,"69,71"
71,バトル,"70,72"
72,バトル,"57,71,73"
73,バトル,"72,74"
74,バトル,"73,75"
75,バトル,"60,74,90"
76,バトル,"61,91"
77,バトル,0
78,バトル,0
79,バトル,"64,94"
80,バトル,0
81,バトル,"66,96"
82,バトル,0
83,バトル,0
84,バトル,"69,99"
85,バトル,0
86,バトル,0
87,バトル,0
88,バトル,0
89,バトル,0
90,バトル,"75,105"
91,バトル,"76,106"
92,バトル,0
93,バトル,0
94,バトル,"79,109"
95,バトル,0
96,バトル,"81,97"
97,バトル,"96,98"
98,バトル,"97,99"
99,バトル,"84,98"
100,バトル,0
101,バトル,0
102,バトル,0
103,バトル,0
104,バトル,0
105,バトル,"90,120"
106,バトル,91
107,バトル,0
108,バトル,0
109,バトル,"94,116"
110,バトル,0
111,バトル,0
112,バトル,0
113,バトル,0
114,バトル,0
115,バトル,0
116,バトル,"109,117"
117,バトル,"116,118"
118,バトル,"117,119"
119,アイテムショップ,"118,120"
120,アイテムショップ,"105,119"
